algo,mode,op,time,file
AES,ECB,encryption,0.002835759607842192,gutenberg.txt
AES,ECB,decryption,2.692469861358404e-05,gutenberg.txt
AES,CBC,encryption,2.7459306875243782e-05,gutenberg.txt
AES,CBC,decryption,2.575979451648891e-05,gutenberg.txt
AES,CFB,encryption,3.075719578191638e-05,gutenberg.txt
AES,CFB,decryption,3.037430578842759e-05,gutenberg.txt
AES,OFB,encryption,2.6560091646388174e-05,gutenberg.txt
AES,OFB,decryption,2.4874904192984103e-05,gutenberg.txt
AES,CFB8,encryption,3.0410889303311704e-05,gutenberg.txt
AES,CFB8,decryption,2.8121698414906858e-05,gutenberg.txt
AES,CTR,encryption,2.7682102518156172e-05,gutenberg.txt
AES,CTR,decryption,2.6186503237113357e-05,gutenberg.txt
AES,GCM,encryption,3.226979752071202e-05,gutenberg.txt
AES,GCM,decryption,3.0049681663513182e-05,gutenberg.txt
AES,XTS,encryption,2.4930288782343267e-05,gutenberg.txt
AES,XTS,decryption,2.299640909768641e-05,gutenberg.txt
camellia,ECB,encryption,2.7914292877539994e-05,gutenberg.txt
camellia,ECB,decryption,2.6204501045867802e-05,gutenberg.txt
camellia,CBC,encryption,2.8114800807088612e-05,gutenberg.txt
camellia,CBC,decryption,2.6343599893152712e-05,gutenberg.txt
camellia,CFB,encryption,2.842450048774481e-05,gutenberg.txt
camellia,CFB,decryption,2.725300728343427e-05,gutenberg.txt
camellia,OFB,encryption,2.6402209186926484e-05,gutenberg.txt
camellia,OFB,decryption,2.5596993509680033e-05,gutenberg.txt
camellia,CTR,encryption,3.073149127885699e-05,gutenberg.txt
camellia,CTR,decryption,2.9231992084532975e-05,gutenberg.txt
3DES,ECB,encryption,2.9085000278428197e-05,gutenberg.txt
3DES,ECB,decryption,2.792880404740572e-05,gutenberg.txt
3DES,CBC,encryption,2.9394397279247643e-05,gutenberg.txt
3DES,CBC,decryption,2.806439297273755e-05,gutenberg.txt
3DES,CFB,encryption,3.2285507768392566e-05,gutenberg.txt
3DES,CFB,decryption,3.064629854634404e-05,gutenberg.txt
3DES,OFB,encryption,2.867001458071172e-05,gutenberg.txt
3DES,OFB,decryption,2.7807895094156265e-05,gutenberg.txt
3DES,CFB8,encryption,5.7409401051700115e-05,gutenberg.txt
3DES,CFB8,decryption,5.767619586549699e-05,gutenberg.txt
AES,ECB,encryption,0.002835759607842192,grammar.lsp
AES,ECB,decryption,2.692469861358404e-05,grammar.lsp
AES,CBC,encryption,2.7459306875243782e-05,grammar.lsp
AES,CBC,decryption,2.575979451648891e-05,grammar.lsp
AES,CFB,encryption,3.075719578191638e-05,grammar.lsp
AES,CFB,decryption,3.037430578842759e-05,grammar.lsp
AES,OFB,encryption,2.6560091646388174e-05,grammar.lsp
AES,OFB,decryption,2.4874904192984103e-05,grammar.lsp
AES,CFB8,encryption,3.0410889303311704e-05,grammar.lsp
AES,CFB8,decryption,2.8121698414906858e-05,grammar.lsp
AES,CTR,encryption,2.7682102518156172e-05,grammar.lsp
AES,CTR,decryption,2.6186503237113357e-05,grammar.lsp
AES,GCM,encryption,3.226979752071202e-05,grammar.lsp
AES,GCM,decryption,3.0049681663513182e-05,grammar.lsp
AES,XTS,encryption,2.4930288782343267e-05,grammar.lsp
AES,XTS,decryption,2.299640909768641e-05,grammar.lsp
camellia,ECB,encryption,2.7914292877539994e-05,grammar.lsp
camellia,ECB,decryption,2.6204501045867802e-05,grammar.lsp
camellia,CBC,encryption,2.8114800807088612e-05,grammar.lsp
camellia,CBC,decryption,2.6343599893152712e-05,grammar.lsp
camellia,CFB,encryption,2.842450048774481e-05,grammar.lsp
camellia,CFB,decryption,2.725300728343427e-05,grammar.lsp
camellia,OFB,encryption,2.6402209186926484e-05,grammar.lsp
camellia,OFB,decryption,2.5596993509680033e-05,grammar.lsp
camellia,CTR,encryption,3.073149127885699e-05,grammar.lsp
camellia,CTR,decryption,2.9231992084532975e-05,grammar.lsp
3DES,ECB,encryption,2.9085000278428197e-05,grammar.lsp
3DES,ECB,decryption,2.792880404740572e-05,grammar.lsp
3DES,CBC,encryption,2.9394397279247643e-05,grammar.lsp
3DES,CBC,decryption,2.806439297273755e-05,grammar.lsp
3DES,CFB,encryption,3.2285507768392566e-05,grammar.lsp
3DES,CFB,decryption,3.064629854634404e-05,grammar.lsp
3DES,OFB,encryption,2.867001458071172e-05,grammar.lsp
3DES,OFB,decryption,2.7807895094156265e-05,grammar.lsp
3DES,CFB8,encryption,5.7409401051700115e-05,grammar.lsp
3DES,CFB8,decryption,5.767619586549699e-05,grammar.lsp
AES,ECB,encryption,3.201510407961905e-05,grammar.lsp
